Date,App_Name,Category,Minutes_Used
2026-08-01,YouTube,Entertainment,108
2026-08-01,Instagram,Social Media,54
2026-08-01,WhatsApp,Social Media,41
2026-08-01,VS Code,Coding,38
2026-08-01,Spotify,Entertainment,62
2026-08-01,Duolingo,Education,28
2026-08-01,Khan Academy,Education,15
2026-08-02,TikTok,Social Media,61
2026-08-02,Netflix,Entertainment,89
2026-08-02,Terminal,Coding,42
2026-08-02,GitHub,Coding,31
2026-08-02,WhatsApp,Social Media,55
2026-08-02,Kindle,Education,24
2026-08-02,Spotify,Entertainment,70
2026-08-03,VS Code,Coding,52
2026-08-03,Terminal,Coding,40
2026-08-03,GitHub,Coding,28
2026-08-03,Instagram,Social Media,38
2026-08-03,WhatsApp,Social Media,45
2026-08-03,YouTube,Entertainment,47
2026-08-03,Duolingo,Education,19
2026-08-03,Kindle,Education,26
